,Rank,Name,Team,Position,FPTS,AVG,Auction Price
0,1,Patrick Mahomes,KC,QB,429.9,25.3,$40
1,2,Josh Allen,BUF,QB,400.69,25.0,$47
2,3,Jalen Hurts,PHI,QB,372.03,24.8,$38
3,4,Austin Ekeler,LAC,RB,370.7,21.8,$55
4,5,Justin Jefferson,MIN,WR,368.32,21.7,$16
5,6,Joe Burrow,CIN,QB,360.95,22.6,$25
6,7,Christian McCaffrey,SF,RB,357.02,21.0,$58
7,8,Tyreek Hill,MIA,WR,346.2,20.4,$32
8,9,Davante Adams,LV,WR,334.5,19.7,$39
9,10,Josh Jacobs,LV,RB,326.3,19.2,$8
10,11,Travis Kelce,KC,TE,316.3,18.6,$39
11,12,Stefon Diggs,BUF,WR,315.6,19.7,$37
12,13,Geno Smith,SEA,QB,306.06,18.0,$16
13,14,Derrick Henry,TEN,RB,301.72,18.9,$45
14,15,CeeDee Lamb,DAL,WR,301.6,17.7,$34
15,16,A.J. Brown,PHI,WR,299.6,17.6,$34
16,17,Trevor Lawrence,JAX,QB,293.49,17.3,$16
17,18,Jared Goff,DET,QB,287.94,16.9,$2
18,19,Kirk Cousins,MIN,QB,286.11,16.8,$25
19,20,Saquon Barkley,NYG,RB,283.0,17.7,$39
20,21,Justin Fields,CHI,QB,282.56,18.8,$16
21,22,Nick Chubb,CLE,RB,281.4,16.6,$21
22,23,Daniel Jones,NYG,QB,278.95,17.4,$8
23,24,Justin Herbert,LAC,QB,268.87,15.8,$46
24,25,Amon-Ra St. Brown,DET,WR,267.6,16.7,$12
25,26,Tom Brady,TB,QB,264.72,15.6,$25
26,27,Jaylen Waddle,MIA,WR,259.2,15.2,$17
27,28,DeVonta Smith,PHI,WR,254.6,15.0,$6
28,29,Tony Pollard,DAL,RB,248.8,15.5,$9
29,30,Aaron Jones,GB,RB,246.6,14.5,$26
30,31,Rhamondre Stevenson,NE,RB,246.1,14.5,$7
31,32,Amari Cooper,CLE,WR,245.0,14.4,$8
32,33,Ja'Marr Chase,CIN,WR,242.4,20.2,$12
33,34,Christian Kirk,JAX,WR,241.9,14.2,$5
34,35,Joe Mixon,CIN,RB,239.5,17.1,$42
35,36,Aaron Rodgers,GB,QB,238.25,14.0,$35
36,37,Dalvin Cook,MIN,RB,237.8,14.0,$44
37,38,Lamar Jackson,BAL,QB,237.66,18.3,$40
38,39,Tyler Lockett,SEA,WR,237.3,14.8,$10
39,40,Tua Tagovailoa,MIA,QB,232.44,17.9,$16
40,41,Terry McLaurin,Unknown,WR,228.0,13.4,$10
41,42,Brandon Aiyuk,SF,WR,227.8,13.4,$8
42,43,DK Metcalf,SEA,WR,226.8,13.3,$14
43,44,Mike Evans,TB,WR,225.4,15.0,$20
44,45,Leonard Fournette,Unknown,RB,225.1,14.1,$8
45,46,Jamaal Williams,NO,RB,224.9,13.2,UD
46,47,Chris Godwin,TB,WR,222.8,14.9,$13
47,48,Najee Harris,PIT,RB,222.42,13.1,$50
48,49,Tee Higgins,CIN,WR,220.9,13.8,$25
49,50,Miles Sanders,CAR,RB,216.7,12.7,$5
50,51,Michael Pittman Jr.,IND,WR,215.5,13.5,$31
51,52,T.J. Hockenson,MIN,TE,215.4,12.7,$4
52,53,Garrett Wilson,NYJ,WR,214.7,12.6,$2
53,54,Derek Carr,NO,QB,213.86,14.3,$23
54,55,Alvin Kamara,NO,RB,211.7,14.1,$43
55,56,Russell Wilson,DEN,QB,207.52,13.8,$36
56,57,Jerry Jeudy,DEN,WR,204.2,13.6,$12
57,58,Travis Etienne Jr.,JAX,RB,203.1,11.9,$20
58,59,Kenneth Walker III,SEA,RB,202.5,13.5,$2
59,60,George Kittle,SF,TE,200.5,13.4,$13
60,61,Cooper Kupp,LAR,WR,200.4,22.3,$26
61,62,DJ Moore,CHI,WR,199.1,11.7,$26
62,63,James Conner,Unknown,RB,198.2,15.2,$24
63,64,Chris Olave,NO,WR,198.2,13.2,$4
64,65,Zay Jones,JAX,WR,198.1,12.4,UD
65,66,Dak Prescott,DAL,QB,198.0,16.5,$27
66,67,Jerick McKinnon,KC,RB,196.3,11.5,$1
67,68,Kyler Murray,Unknown,QB,191.84,17.4,$37
68,69,Marcus Mariota,PHI,QB,190.37,14.6,$8
69,70,D'Andre Swift,DET,RB,190.1,13.6,$42
70,71,Mark Andrews,BAL,TE,189.5,12.6,$31
71,72,Ezekiel Elliott,Unknown,RB,185.8,12.4,$11
72,73,JuJu Smith-Schuster,NE,WR,184.3,11.5,$16
73,74,Jakobi Meyers,LV,WR,180.3,12.9,$2
74,75,Adam Thielen,Unknown,WR,180.0,10.6,$9
75,76,Diontae Johnson,PIT,WR,179.7,10.6,$16
76,77,Drake London,ATL,WR,178.6,10.5,$9
77,78,Devin Singletary,HOU,RB,177.9,11.1,$6
78,79,David Montgomery,DET,RB,177.7,11.1,$23
79,80,Evan Engram,JAX,TE,176.9,10.4,UD
80,81,Mike Williams,LAC,WR,176.5,13.6,$6
81,82,Curtis Samuel,Unknown,WR,176.3,10.4,UD
82,83,Allen Lazard,NYJ,WR,174.8,11.7,$6
83,84,Gabe Davis,BUF,WR,171.6,11.4,$16
84,85,Andy Dalton,CAR,QB,168.53,12.0,UD
85,86,Raheem Mostert,MIA,RB,168.3,10.5,$4
86,87,Joshua Palmer,LAC,WR,168.3,10.5,$1
87,88,Jimmy Garoppolo,LV,QB,167.41,15.2,UD
88,89,Deebo Samuel,SF,WR,167.4,12.9,$35
89,90,Donovan Peoples-Jones,CLE,WR,167.1,9.8,$26
90,91,Tyler Boyd,CIN,WR,166.89,10.4,$4
91,92,AJ Dillon,GB,RB,166.6,9.8,$19
92,93,George Pickens,PIT,WR,166.5,9.8,$4
93,94,Antonio Gibson,Unknown,RB,164.9,11.0,$6
94,95,Dameon Pierce,HOU,RB,164.4,12.6,$14
95,96,Davis Mills,HOU,QB,164.34,11.0,$6
96,97,Christian Watson,GB,WR,164.1,11.7,$1
97,98,Keenan Allen,LAC,WR,164.0,16.4,$19
98,99,Courtland Sutton,DEN,WR,159.4,10.6,$18
99,100,Tyler Allgeier,ATL,RB,159.4,10.0,$1
100,101,Jacoby Brissett,Unknown,QB,158.54,9.9,$1
101,102,Jeff Wilson Jr.,MIA,RB,157.5,9.8,UD
102,103,Marquise Brown,Unknown,WR,155.0,12.9,$13
103,104,Ryan Tannehill,TEN,QB,154.88,12.9,$5
104,105,Cordarrelle Patterson,ATL,RB,154.7,11.9,$6
105,106,K.J. Osborn,MIN,WR,154.6,9.1,$1
106,107,Mack Hollins,LV,WR,154.12,9.1,UD
107,108,Latavius Murray,DEN,RB,153.2,11.8,UD
108,109,Mac Jones,NE,QB,153.11,10.9,$5
109,110,Tyler Higbee,LAR,TE,152.0,8.9,UD
110,111,DeAndre Hopkins,Unknown,WR,150.7,16.7,$3
111,112,Pat Freiermuth,PIT,TE,148.2,9.3,$1
112,113,Parris Campbell,NYG,WR,148.1,8.7,$2
113,114,Jonathan Taylor,IND,RB,146.4,13.3,$62
114,115,Cole Kmet,CHI,TE,146.3,8.6,$5
115,116,Brandin Cooks,DAL,WR,145.6,11.2,$12
116,117,Taysom Hill,NO,TE,145.4,9.1,UD
117,118,Dalton Schultz,HOU,TE,142.7,9.5,$11
118,119,Samaje Perine,DEN,RB,142.1,8.9,UD
119,120,David Njoku,CLE,TE,142.0,10.1,$1
120,121,Cam Akers,LAR,RB,141.3,9.4,$14
121,122,Dallas Goedert,PHI,TE,141.2,11.8,$4
122,123,Gerald Everett,LAC,TE,139.5,8.7,UD
123,124,Rachaad White,TB,RB,139.1,8.2,$1
124,125,Dawson Knox,BUF,TE,135.7,9.0,$4
125,126,Juwan Johnson,NO,TE,134.8,8.4,UD
126,127,Isiah Pacheco,KC,RB,133.0,7.8,$3
127,128,Richie James,NYG,WR,132.5,7.8,UD
128,129,Jahan Dotson,Unknown,WR,130.6,10.0,$3
129,130,D'Onta Foreman,CHI,RB,130.0,7.6,UD
130,131,Matt Ryan,Unknown,QB,129.71,10.8,$9
131,132,Tyler Conklin,NYJ,TE,129.5,7.6,UD
132,133,Kenny Pickett,PIT,QB,127.82,9.8,$5
133,134,Darius Slayton,NYG,WR,127.4,8.0,UD
134,135,Kareem Hunt,CLE,RB,125.8,7.4,$8
135,136,Michael Carter,NYJ,RB,125.0,7.8,$2
136,137,Russell Gage,TB,WR,123.6,9.5,$3
137,138,Noah Fant,SEA,TE,122.6,7.2,$1
138,139,Marquez Valdes-Scantling,KC,WR,122.4,7.2,$4
139,140,Isaiah McKenzie,Unknown,WR,119.8,8.0,$3
140,141,Khalil Herbert,CHI,RB,117.8,9.1,$1
141,142,Marvin Jones Jr.,JAX,WR,116.9,7.3,$5
142,143,Jordan Akins,CLE,TE,116.5,7.8,UD
143,144,Robert Woods,Unknown,WR,115.7,6.8,$6
144,145,Zach Ertz,Unknown,TE,115.6,11.6,$3
145,146,Breece Hall,NYJ,RB,115.1,16.4,$14
146,147,Devin Duvernay,BAL,WR,115.1,8.2,UD
147,148,Chris Moore,HOU,WR,115.1,7.2,UD
148,149,Brock Purdy,SF,QB,114.52,12.7,UD
149,150,Noah Brown,HOU,WR,114.5,7.2,$12
150,151,Kalif Raymond,DET,WR,114.2,6.7,UD
151,152,Taylor Heinicke,ATL,QB,113.37,11.3,UD
152,153,Greg Dortch,Unknown,WR,113.1,7.1,UD
153,154,Robert Tonyan,CHI,TE,112.0,6.6,UD
154,155,Alec Pierce,IND,WR,111.3,7.0,$2
155,156,DeAndre Carter,LAC,WR,111.3,6.5,UD
156,157,Brian Robinson Jr.,Unknown,RB,110.7,9.2,$1
157,158,Olamide Zaccheaus,ATL,WR,110.0,6.5,UD
158,159,Chase Claypool,CHI,WR,107.03,7.1,$2
159,160,James Cook,BUF,RB,105.7,6.6,$3
160,161,Michael Gallup,DAL,WR,105.4,7.5,UD
161,162,Hayden Hurst,CAR,TE,105.4,8.1,UD
162,163,Baker Mayfield,TB,QB,104.79,8.7,$4
163,164,Hunter Henry,NE,TE,103.9,6.1,$2
164,165,Josh Reynolds,DET,WR,103.9,7.4,UD
165,166,Carson Wentz,Unknown,QB,103.25,12.9,$4
166,167,Kenyan Drake,BAL,RB,103.1,8.6,UD
167,168,DeVante Parker,NE,WR,102.9,7.9,$1
168,169,Demarcus Robinson,BAL,WR,102.8,6.0,UD
169,170,Darnell Mooney,CHI,WR,101.5,8.5,$10
170,171,Romeo Doubs,GB,WR,100.6,7.7,$3
171,172,Isaiah Hodgins,NYG,WR,100.2,10.0,UD
172,173,Rashid Shaheed,NO,WR,99.5,8.3,UD
173,174,Clyde Edwards-Helaire,KC,RB,98.3,9.8,$13
174,175,Mike Gesicki,NE,TE,98.2,5.8,$1
175,176,DJ Chark,DET,WR,98.2,8.9,UD
176,177,Corey Davis,NYJ,WR,97.6,7.5,UD
177,178,Matthew Stafford,LAR,QB,97.51,10.8,$33
178,179,Austin Hooper,TEN,TE,97.4,5.7,UD
179,180,Chigoziem Okonkwo,TEN,TE,97.2,5.7,UD
180,181,Nico Collins,HOU,WR,97.1,9.7,$2
181,182,Treylon Burks,TEN,WR,94.1,8.6,$3
182,183,Cade Otton,TB,TE,93.1,5.8,UD
183,184,Mecole Hardman,KC,WR,92.8,11.6,UD
184,185,Jaylen Warren,PIT,RB,92.3,5.8,UD
185,186,Isaiah Likely,BAL,TE,91.3,5.7,$1
186,187,Damien Harris,BUF,RB,90.9,8.3,$6
187,188,Marquise Goodwin,SEA,WR,90.2,6.9,$13
188,189,Eno Benjamin,NO,RB,89.6,6.0,UD
189,190,Alexander Mattison,MIN,RB,88.4,5.2,$4
190,191,Rondale Moore,Unknown,WR,87.9,11.0,$2
191,192,Kenneth Gainwell,PHI,RB,87.9,5.2,$1
192,193,James Robinson,NE,RB,87.6,8.0,$1
193,194,Elijah Moore,NYJ,WR,87.1,5.4,$7
194,195,Zach Wilson,NYJ,QB,87.04,9.7,$4
195,196,Will Dissly,SEA,TE,86.9,5.8,UD
196,197,Chuba Hubbard,CAR,RB,86.7,5.8,$1
197,198,Kendrick Bourne,NE,WR,86.3,5.4,UD
198,199,Greg Dulcich,DEN,TE,86.1,8.6,UD
199,200,Foster Moreau,LV,TE,85.2,5.7,UD
200,201,Allen Robinson II,LAR,WR,84.9,8.5,$14
201,202,Darren Waller,NYG,TE,84.8,9.4,$15
202,203,Deon Jackson,IND,RB,84.5,5.3,UD
203,204,uez Watkins,PHI,WR,84.5,5.0,UD
204,205,Ben Skowronek,LAR,WR,84.3,6.0,UD
205,206,Melvin Gordon III,Unknown,RB,84.1,8.4,$2
206,207,Trent Sherfield,BUF,WR,83.7,4.9,UD
207,208,Nick Westbrook-Ikhine,TEN,WR,82.7,4.9,$21
208,209,Deshaun Watson,CLE,QB,82.56,13.8,$1
209,210,Sam Darnold,SF,QB,81.89,13.6,UD
210,211,Jauan Jennings,SF,WR,81.6,5.1,UD
211,212,J.K. Dobbins,BAL,RB,81.2,10.2,$8
212,213,Terrace Marshall Jr.,CAR,WR,81.0,5.8,UD
213,214,Randall Cobb,GB,WR,80.7,6.2,UD
214,215,Nyheim Hines,BUF,RB,79.4,5.0,$1
215,216,Van Jefferson,LAR,WR,78.9,7.2,UD
216,217,Rex Burkhead,HOU,RB,77.4,4.8,UD
217,218,Logan Thomas,Unknown,TE,77.3,5.5,UD
218,219,Dontrell Hilliard,TEN,RB,77.2,6.4,$1
219,220,Hunter Renfrow,LV,WR,77.0,7.7,$8
220,221,Kyle Pitts,ATL,TE,75.6,7.6,$28
221,222,Nelson Agholor,NE,WR,75.2,4.7,UD
222,223,Daniel Bellinger,NYG,TE,75.0,6.3,UD
223,224,Chase Edmonds,TB,RB,74.2,5.7,$7
224,225,Darrell Henderson Jr.,Unknown,RB,73.5,7.4,$6
225,226,Jelani Woods,IND,TE,73.2,4.9,UD
226,227,Laviska Shenault Jr.,CAR,WR,72.7,5.6,UD
227,228,Julio Jones,TB,WR,70.4,7.0,$2
228,229,Jamal Agnew,JAX,WR,70.3,4.7,UD
229,230,JaMycal Hasty,JAX,RB,70.0,4.1,UD
230,231,Noah Gray,KC,TE,70.0,4.1,UD
231,232,Colby Parkinson,SEA,TE,69.2,4.1,UD
232,233,Tyquan Thornton,NE,WR,66.3,5.1,UD
233,234,Joshua Kelley,LAC,RB,64.8,5.0,UD
234,235,Zack Moss,IND,RB,64.5,5.0,UD
235,236,Mitch Trubisky,PIT,QB,64.36,9.2,$2
236,237,Dante Pettis,CHI,WR,64.2,3.8,UD
237,238,Equanimeous St. Brown,CHI,WR,63.7,4.0,$34
238,239,Brock Wright,DET,TE,63.6,3.7,UD
239,240,Tutu Atwell,LAR,WR,63.2,4.9,UD
240,241,Trenton Irwin,CIN,WR,63.2,7.0,UD
241,242,Harrison Bryant,CLE,TE,61.7,3.6,UD
242,243,A.J. Green,Unknown,WR,61.6,4.1,$2
243,244,Trey McBride,Unknown,TE,60.5,3.8,UD
244,245,Kylen Granson,IND,TE,60.2,4.6,UD
245,246,Matt Breida,NYG,RB,59.8,3.5,UD
246,247,Gus Edwards,BAL,RB,59.3,6.6,$13
247,248,Jarvis Landry,NO,WR,59.2,6.6,$1
248,249,Braxton Berrios,MIA,WR,58.66,3.5,UD
249,250,Shi Smith,CAR,WR,58.6,3.4,$16
250,251,Justin Watson,KC,WR,58.5,3.4,UD
251,252,Kadarius Toney,KC,WR,57.3,6.4,$3
252,253,Zonovan Knight,NYJ,RB,57.0,7.1,UD
253,254,Kendall Hinton,DEN,WR,56.4,4.7,UD
254,255,C.J. Uzomah,NYJ,TE,56.2,3.7,UD
255,256,Ray-Ray McCloud III,SF,WR,56.1,3.3,UD
256,257,J.D. McKissic,Unknown,RB,55.8,7.0,$1
257,258,MyCole Pruitt,ATL,TE,55.0,4.2,UD
258,259,Irv Smith Jr.,MIN,TE,54.2,6.8,$31
259,260,Ameer Abdullah,LV,RB,54.1,3.2,UD
260,261,Mo Alie-Cox,IND,TE,53.9,3.2,UD
261,262,Kyle Juszczyk,SF,RB,53.6,3.4,UD
262,263,Rashod Bateman,BAL,WR,53.5,7.6,$11
263,264,Tre'uan Smith,NO,WR,52.8,3.5,UD
264,265,Tommy Tremble,CAR,TE,52.4,3.1,UD
265,266,Robbie Anderson,Unknown,WR,52.2,3.3,UD
266,267,Damiere Byrd,ATL,WR,51.8,3.7,UD
267,268,Phillip Dorsett,LV,WR,51.7,3.4,UD
268,269,Wan'Dale Robinson,NYG,WR,51.6,8.6,$3
269,270,Rashaad Penny,PHI,RB,51.2,10.2,$8
270,271,Cooper Rush,DAL,QB,51.13,5.7,UD
271,272,Michael Thomas,NO,WR,51.1,17.0,$12
272,273,Justin Jackson,DET,RB,51.1,3.2,UD
273,274,Jonnu Smith,ATL,TE,51.0,3.6,$16
274,275,Mark Ingram II,NO,RB,50.1,4.6,$1
275,276,Dare Ogunbowale,HOU,RB,48.7,2.9,UD
276,277,Jake Ferguson,DAL,TE,48.4,3.0,UD
277,278,Brandon Powell,LAR,WR,46.6,2.7,UD
278,279,Sammy Watkins,BAL,WR,46.5,3.9,UD
279,280,Boston Scott,PHI,RB,46.2,3.1,UD
280,281,Mike White,MIA,QB,45.66,11.4,UD
281,282,David Bell,CLE,WR,45.4,2.8,$23
282,283,Adam Trautman,NO,TE,44.7,3.0,UD
283,284,DeeJay Dallas,SEA,RB,44.2,2.9,UD
284,285,Caleb Huntley,ATL,RB,43.9,3.7,UD
285,286,Joe Flacco,NYJ,QB,43.83,8.8,UD
286,287,Elijah Mitchell,SF,RB,43.6,8.7,$15
287,288,Skyy Moore,KC,WR,43.4,2.7,$4
288,289,Travis Homer,CHI,RB,43.1,4.3,UD
289,290,Raheem Blackshear,CAR,RB,43.0,3.3,UD
290,291,Ty Johnson,NYJ,RB,42.8,2.5,$16
291,292,Ashton Dulin,IND,WR,42.5,3.5,UD
292,293,Scotty Miller,TB,WR,42.3,2.8,UD
293,294,Javonte Williams,DEN,RB,42.0,10.5,$9
294,295,Tyler Huntley,BAL,QB,41.44,6.9,UD
295,296,KhaDarel Hodge,ATL,WR,41.2,2.4,UD
296,297,Justice Hill,BAL,RB,41.0,2.7,UD
297,298,Shane Zylstra,DET,TE,41.0,3.2,UD
298,299,Josh Oliver,MIN,TE,40.9,2.4,UD
299,300,Ian Thomas,CAR,TE,40.7,2.4,UD
